variant,canonical_locality,ward_name,ward_no,zone
जामा मस्जिद दिल्ली,जामा मस्जिद,जामा मस्जिद,75,सिटी एसपी ज़ोन
meethapur village,meethapur village,meethapur,182,south zone
rampura colony,rampura,keshav puram,64,keshav puram zone
kunwar singh ngr,kunwar singh nagar,kunwar singh,110,najafgarh zone
किंग्सवे कैंप चौक,किंग्सवे कैंप,मुखर्जी नगर,13,सिविल लाइंस ज़ोन
nithari vllg,nithari village,nithari,40,rohini zone
जवाला पुरी,ज्वालापुरी,ज्वालापुरी,45,रोहिणी ज़ोन
tughlaqabad fort area,tughlakabad fort area,tughlakabad,170,south zone
नत्थूपुरा दिल्ली,नत्थूपुरा,स्वरूप नगर,19,सिविल लाइंस ज़ोन
rohini sector 15 b-block,rohini sector 15 block b,rohini-b,22,rohini zone
poothkalan vill,pooth kalan village,pooth kalan,26,rohini zone
वेस्ट आज़ाद नगर एरिया,वेस्ट आज़ाद नगर,आज़ाद नगर,214,शाहदरा साउथ ज़ोन
bijwasan vllg,bijwasan village,bijwasan,131,najafgarh zone
रोहिणी सेक ६,रोहिणी सेक्टर 6,रोहिणी-ई,53,रोहिणी ज़ोन
subhash nagar metro,subhash nagar,subhash nagar,98,west zone
जिंदपुर,जींदपुर,अलीपुर,4,नरेला ज़ोन
rohini sec16,rohini sector 16,rohini-b,22,rohini zone
भूतसिरी विलेज,भूतसिरी गाँव,नांगलोई जाट,46,रोहिणी ज़ोन
ravi nagar,ravi nagar,vishnu garden,95,west zone
vaishali apartments,vaishali,pitam pura,57,keshav puram zone
hemkunt colony delhi,hemkunt colony,greater kailash,173,south zone
vaishalee,vaishali,pitam pura,57,keshav puram zone
दरियापुर कलां दिल्ली,दरियापुर कलां,नांगल ठाकरान,31,नरेला ज़ोन
mohanpuree,mohanpuri,maujpur (gen.),228,shahdara north zone
swasthya vihar colony,swasthya vihar,preet vihar,204,east zone
shivaji park punjabi bagh,shivaji park,punjabi bagh,92,keshav puram zone
संत नगर बंगाली कॉलोनी,बंगाली कॉलोनी,संत नगर,9,सिविल लाइंस ज़ोन
श्याम कॉलोनी बुध विहार,श्याम कॉलोनी,बुध विहार,25,रोहिणी ज़ोन
पुराना अनारकली,पुराना अनारकली,अनारकली,208,शाहदरा साउथ ज़ोन
आर के पुरम सेक्टर ५,आरके पुरम सेक्टर 5,आर.के. पुरम,152,साउथ ज़ोन
mohan puri delhi,mohanpuri,maujpur (gen.),228,shahdara north zone
saboli village,saboli village,saboli,238,shahdara north zone
qureshnagar,quresh nagar,quraish nagar,81,city sp zone
okhla ph-3,okhla phase 3,harkesh nagar,177,south zone
जहांगीरपुरी एफ ब्लॉक एरिया,जहाँगीरपुरी ब्लॉक एफ,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
ककरोला विलेज,ककरोला गाँव,ककरोला,123,नजफगढ़ ज़ोन
baba colony burari,baba colony,burari,6,civil lines zone
सौरभ विहार कॉलोनी,सौरभ विहार,मीठापुर,182,साउथ ज़ोन
pushp vihar sector3,pushp vihar sector 3,pushp vihar,166,south zone
गोकुल पुरी,गोकुलपुरी,जोहरीपुर,240,शाहदरा नॉर्थ ज़ोन
लाडपुर देहात,लाडपुर,कंझावला,32,नरेला ज़ोन
विजय पार्क दिल्ली,विजय पार्क,मौजपुर (gen.),228,शाहदरा North Zone
हर्स विहार,हर्ष विहार,हर्ष विहार,237,शाहदरा नॉर्थ ज़ोन
district centre crossing,district centre,janakpuri west,106,west zone
avantika area,avantika,mangolpuri-a,49,rohini zone
जवाहरपार्क,जवाहर पार्क,देवली,161,साउथ ज़ोन
sunder vihar jawalapuri,sunder vihar,jawalapuri,45,rohini zone
shalimar bagh block-d,shalimar bagh block d,shalimar bagh - b,56,keshav puram zone
tank road jeans market,tank road market,dev nagar,84,karol bagh zone
बदरपुर दिल्ली,बदरपुर गाँव,बदरपुर,180,साउथ ज़ोन
विश्वास नगर एरिया,विश्वास नगर,विश्वास नगर,207,शाहदरा साउथ ज़ोन
rohini sector 11 block b,rohini sector 11 block b,rohini-b,22,rohini zone
tigri extension,tigri extension,tigri,162,south zone
dwarka s3,dwarka sector 3,dwarka - a,121,najafgarh zone
batla house colony,batla house,zakir nagar,189,central zone
सागरपुर वेस्ट कॉलोनी,सागरपुर वेस्ट,सागरपुर,118,नजफगढ़ ज़ोन
samaspur,samaspur,pandav nagar,200,east zone
burari b-block,burari block b,burari,6,civil lines zone
trlokpuri block 8,trilokpuri block 8,trilokpuri,192,east zone
paschimvihar west,paschim vihar west,paschim vihar,59,keshav puram zone
सुल्तानपुरी ४ नंबर ब्लॉक,सुल्तानपुरी ब्लॉक डी,सुल्तानपुरी-ए,43,रोहिणी ज़ोन
palam rly quarters,palam railway colony,palam,135,najafgarh zone
द्वारका सेक 1,द्वारका सेक्टर 1,द्वारका - ए,121,नजफगढ़ ज़ोन
guruharkishannagar,guru harkishan nagar,guru harkishan nagar,48,rohini zone
vijay vihaar b block,vijay vihar block b,vijay vihar,24,rohini zone
lajpat nagar 1 delhi,lajpat nagar 1,lajpat nagar,144,central zone
द्वारका सेक्टर 11,द्वारका सेक्टर 11,द्वारका - बी,120,नजफगढ़ ज़ोन
raj nagar 2 palam,raj nagar part 2,raj nagar,134,najafgarh zone
trilokpuri blk32,trilokpuri block 32,trilokpuri,192,east zone
west patel nagar station side,west patel nagar,west patel nagar,85,karol bagh zone
poothkhurd village,pooth khurd village,pooth khurd,29,narela zone
कस्तूरबा नगर,कस्तूरबा नगर शाहदरा,विश्वास नगर,207,शाहदरा साउथ ज़ोन
रूप नगर एरिया,रूप नगर,कमला नगर,69,केशव पुरम ज़ोन
rangpuri area,rangpuri,mahipalpur,133,najafgarh zone
mahavir enclave dashrath puri side,mahavir enclave (palam side),mahavir enclave,137,najafgarh zone
मेट्रो विहाार,मेट्रो विहार,होलांबी कलां,3,नरेला ज़ोन
saraswati vihar delhi,saraswati vihar,saraswati vihar,58,keshav puram zone
onkar nager,onkar nagar,tri nagar,63,keshav puram zone
निर्माण विहार की गली,निर्माण विहार,प्रीत विहार,204,ईस्ट ज़ोन
sector21,sector 21,aman vihar,41,rohini zone
हंसराज कॉलेज के पास,हंसराज कॉलेज एरिया,मलका गंज,12,सिविल लाइंस ज़ोन
crpf camp jharoda side,crpf camp jharoda,sainik enclave,112,najafgarh zone
fateh ngr,fateh nagar,fateh nagar,100,west zone
deoli vilage,deoli village,deoli,161,south zone
trilokpuri 28 block,trilokpuri block 28,trilokpuri,192,east zone
shalimar baghc block,shalimar bagh block c,shalimar bagh - b,56,keshav puram zone
dilshad garden block area,dilshad garden block a to r,dilshad garden,219,shahdara north zone
हिरण पार्क,डियर पार्क,दिलशाद गार्डन,219,शाहदरा नॉर्थ ज़ोन
जेल रोड वाली साइड,जेल रोड Area,फतेह नगर,100,वेस्ट ज़ोन
shantinagar,shanti nagar,tri nagar,63,keshav puram zone
jafrabad vicinity,jafrabad,chauhan banger (women),227,shahdara north zone
bhola nath nagar,bholanath nagar,shahdara,215,shahdara south zone
कैंप 4 नंबर,कैंप नंबर 4,ज्वालापुरी,45,रोहिणी ज़ोन
यादव नगर दिल्ली,यादव नगर,समयपुर बादली,20,सिविल लाइंस ज़ोन
संत नगर मार्केट,संत नगर मेन मार्केट,संत नगर,9,सिविल लाइंस ज़ोन
shakurpur gaon delhi,shakur pur village,shakur pur,62,keshav puram zone
shalimar bagh block c,shalimar bagh block c,shalimar bagh - b,56,keshav puram zone
east of kailash delhi,east of kailash,amar colony,146,central zone
मधु विहार,मधु विहार,पटपड़गंज,197,ईस्ट ज़ोन
rama park colony,rama park,mohan garden,113,najafgarh zone
बुध विहार पार्ट 1,बुध विहार फेज़ 1,बुध विहार,25,रोहिणी ज़ोन
आनंद विहार बस स्टैंड साइड,आनंद विहार,आनंद विहार,206,शाहदरा साउथ ज़ोन
ग़ालिब की हवेली,ग़ालिब की हवेली,बल्लीमारान,79,सिटी एसपी ज़ोन
कस्तूरबा नगर मुख्य,कस्तूरबा नगर शाहदरा,विश्वास नगर,207,शाहदरा साउथ ज़ोन
ताहिरपुर दिल्ली,ताहिरपुर गांव,दिलशाद कॉलोनी,217,शाहदरा साउथ ज़ोन
shastri nagar block,shastri nagar,shastri nagar,70,city sp zone
अजमल खान मार्ग,अजमल खान रोड,करोल बाग,83,करोल बाग ज़ोन
विस्नु गार्डन,विष्णु गार्डन,विष्णु गार्डन,95,वेस्ट ज़ोन
roop nagar colony,roop nagar,kamla nagar,69,keshav puram zone
अशोक नगर बस्ती शाहदरा,अशोक नगर शाहदरा,अशोक नगर,221,शाहदरा नॉर्थ ज़ोन
timarpur vill,timarpur village,timarpur,11,civil lines zone
bhootsirivillage,bhootsiri village,nangloi jat,46,rohini zone
महा लक्ष्मी एन्क्लेव,महालक्ष्मी एन्क्लेव,करावल नगर ईस्ट,241,शाहदरा नॉर्थ ज़ोन
kanhaiya nager,kanhaiya nagar,keshav puram,64,keshav puram zone
pratap nagar area,pratap nagar,kishan ganj,71,city sp zone
karampura area,karampura,karam pura,89,karol bagh zone
sec 1 rk puram,rk puram sector 1,r.k. puram,152,south zone
jahangir puri block h,jahangirpuri block h,jahangir puri,18,civil lines zone
दयालपुर बस्ती,दयालपुर गांव,दयालपुर,242,शाहदरा नॉर्थ ज़ोन
bawana ind area,dsiidc industrial area,bawana,30,narela zone
hansraj college vicinity,hansraj college area,malka ganj,12,civil lines zone
satyawati college,satyawati college,ashok vihar,65,keshav puram zone
बुध विहार १,बुध विहार फेज़ 1,बुध विहार,25,रोहिणी ज़ोन
sant nagar block a area,sant nagar block a,sant nagar,9,civil lines zone
gujranwala town,gujranwala town,model town,68,keshav puram zone
यमुना विहार रोड,यमुना विहार,भजनपुरा (gen),230,शाहदरा नॉर्थ ज़ोन
कुरैश नगर वाली गली,कुरैश नगर,कुरैश नगर,81,सिटी एसपी ज़ोन
yamuna vihar block-b,yamuna vihar block b,yamuna vihar (gen.),232,shahdara north zone
pitampura block cd,pitampura cd,pitam pura,57,keshav puram zone
निर्माण विहार दिल्ली,निर्माण विहार,प्रीत विहार,204,ईस्ट ज़ोन
sagarpur east,sagarpur east,sagarpur,118,najafgarh zone
sda market,sda,green park,150,south zone
सरस्वती विहार पुलिस चौकी,सरस्वती विहार,सरस्वती विहार,58,केशव पुरम ज़ोन
मेट्रो विहार होलांबी,मेट्रो विहार,होलांबी कलां,3,नरेला ज़ोन
bgumpur,begumpur,malviya nagar,149,south zone
sherpur area,sherpur,dayalpur,242,shahdara north zone
trilokpuriblock 31,trilokpuri block 31,trilokpuri,192,east zone
saurabh vihar badarpur,saurabh vihar,meethapur,182,south zone
सूरजकुंड रोड वाली गली,सूरजकुंड रोड,पुल प्रह्लादपुर,179,साउथ ज़ोन
असोला बस्ती,असोला,छतरपुर,159,साउथ ज़ोन
west patel nagar,west patel nagar,west patel nagar,85,karol bagh zone
saraswati vihar pitampura,saraswati vihar,saraswati vihar,58,keshav puram zone
बल्लीमारान मार्केट,बल्लीमारान,बल्लीमारान,79,सिटी एसपी ज़ोन
haiderpur,haiderpur,shalimar bagh - a,55,keshav puram zone
vasant kunj sector d,vasant kunj sector d,vasant kunj,156,south zone
malik pur,malikpur,isapur,126,najafgarh zone
mohan puri,mohanpuri,maujpur (gen.),228,shahdara north zone
pashchim vihar west,paschim vihar west,paschim vihar,59,keshav puram zone
अमर कॉलोनी बस्ती,अमर कॉलोनी,अमर कॉलोनी,146,सेंट्रल ज़ोन
nihal vihar colony,nihal vihar,nihal vihar,47,rohini zone
स्वरूप नगर कालोनी,स्वरूप नगर,स्वरूप नगर,19,सिविल लाइंस ज़ोन
ईदगाह रोड सदर बाजार साइड,ईदगाह रोड,कुरैश नगर,81,सिटी एसपी ज़ोन
freedom fighter enclave,freedom fighter enclave,said- ul-ajaib,160,south zone
शाहीन बाग जामिया नगर,शाहीन बाग,अबुल फजल एन्क्लेव,188,सेंट्रल ज़ोन
chandni mahal delhi,chandni mahal,chandani mahal,76,city sp zone
central school region,central school area,madangir,165,south zone
wazirpur jj colni,wazirpur jj colony,wazir pur,66,keshav puram zone
patparganjvillage,patparganj village,patpar ganj,197,east zone
motia khan road,motia khan,quraish nagar,81,city sp zone
azadpur fruit mandi,azadpur mandi,azadpur,16,civil lines zone
जहांगीरपुरी ब्लॉक-जी,जहाँगीरपुरी ब्लॉक जी,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
महावीर एन्क्लेव पार्ट 2 कॉलोनी,महावीर एन्क्लेव पार्ट 2,महावीर एन्क्लेव,105,नजफगढ़ ज़ोन
द्वारका सेक्टर 4,द्वारका सेक्टर 4,द्वारका - ए,121,नजफगढ़ ज़ोन
मालवीय नगर कॉलोनी,मालवीय नगर,मालवीय नगर,149,साउथ ज़ोन
trilokpuri sector 20,trilokpuri block 20,trilokpuri,192,east zone
britania chawk area,britannia chowk area,shakur pur,62,keshav puram zone
jahangirpuri block-i,jahangirpuri block i,jahangir puri,18,civil lines zone
navneeti ip extension,navneeti appts,ip extension,205,east zone
गौतमपुरी वाली गली,गौतमपुरी,मोलरबंद,181,साउथ ज़ोन
सरिता विहार ब्लॉक ए,सरिता विहार पॉकेट ए,सरिता विहार,187,साउथ ज़ोन
रूप नगर,रूप नगर,कमला नगर,69,केशव पुरम ज़ोन
ajmal khan road karol bagh,ajmal khan road,karol bagh,83,karol bagh zone
west patel nagar market,west patel nagar,west patel nagar,85,karol bagh zone
agar nagar delhi,agar nagar,kirari,37,rohini zone
केशव पुरम मेट्रो,केशव पुरम,केशव पुरम,64,केशव पुरम ज़ोन
trilokpuri 14 block,trilokpuri block 14,trilokpuri,192,east zone
पीतमपुरा सीडी एरिया,पीतमपुरा सीडी,पीतमपुरा,57,केशव पुरम ज़ोन
ashok vihaar phase 3,ashok vihar phase 3,ashok vihar,65,keshav puram zone
manav chowak,manav chowk,rohini-b,22,rohini zone
rohini sec 16 block a,rohini sector 16 block a,rohini-b,22,rohini zone
trilokpuri blk36,trilokpuri block 36,trilokpuri,192,east zone
hiranki,hiranki,bakhtawarpur,5,narela zone
munirka vill,munirka village,munirka,151,south zone
sudarshan park moti nagar,sudarshan park,moti nagar,90,karol bagh zone
dakshin pury,dakshinpuri,dakshin puri,164,south zone
thana road najafgarh,thana road,najafgarh,127,najafgarh zone
ग्रेटर कैलाश पार्ट 1,जीके-1,ग्रेटर कैलाश,173,साउथ ज़ोन
rithala gaon,rithala village,rithala,23,rohini zone
चूना मंडी पहाड़गंज,चूना मंडी,पहाड़गंज,82,सिटी एसपी ज़ोन
न्यू उस्मानपुर कॉलोनी,न्यू उस्मानपुर,ब्रह्मपुरी (women),229,शाहदरा नॉर्थ ज़ोन
लाजपत नगर ४ ब्लॉक,लाजपत नगर 4,लाजपत नगर,144,सेंट्रल ज़ोन
ramesh nagar area,ramesh nagar,ramesh nagar,91,karol bagh zone
rana pratap bagh area,rana pratap bagh,sangam park,67,keshav puram zone
hastsal village uttam nagar side,hastsal village,hastsal,108,west zone
saket m block colony,saket m block,pushp vihar,166,south zone
kapshera village,kapashera village,kapashera,132,najafgarh zone
lalita park area,lalita park,lalita park,201,east zone
pushp vihar sec 3,pushp vihar sector 3,pushp vihar,166,south zone
suee walan,sui walan,chandani mahal,76,city sp zone
शालीमार बाग बी ब्लॉक वाली गली,शालीमार बाग ब्लॉक बी,शालीमार बाग - ए,55,केशव पुरम ज़ोन
rohini s8 block a,rohini sector 8 block a,rohini-a,21,rohini zone
मदनपुरखादर गाँव,मदनपुर खादर गाँव,मदनपुर खादर ईस्ट,185,साउथ ज़ोन
rany bagh market,rani bagh main market,rani bagh,60,keshav puram zone
उस्मानपुर दिल्ली,उस्मानपुर,गौतम पुरी (gen.),226,शाहदरा नॉर्थ ज़ोन
rohtas nagar west side,rohtas nagar west,rohtash nagar,223,shahdara north zone
सरिता विहार दिल्ली पॉकेट ए,सरिता विहार पॉकेट ए,सरिता विहार,187,साउथ ज़ोन
सुल्तानपुरी ब्लॉक-ई,सुल्तानपुरी ब्लॉक ई,सुल्तानपुरी-बी,44,रोहिणी ज़ोन
mayurvihar ph 1,mayur vihar phase 1,mayur vihar phase-i,191,east zone
आरके पुरम सेक्टर-10,आरके पुरम सेक्टर 10,आर.के. पुरम,152,साउथ ज़ोन
कैलाश पूर्व मार्केट,कैलाश पूर्व,अमर कॉलोनी,146,सेंट्रल ज़ोन
dev nager,dev nagar,dev nagar,84,karol bagh zone
सैनिक एनक्लेव एरिया,सैनिक एन्क्लेव,सैनिक एन्clave,112,नजफगढ़ ज़ोन
आदर्श नगर ब्लॉक,आदर्श नगर,आदर्श नगर,15,सिविल लाइंस ज़ोन
ashok nagar colony,ashok nagar (shahdara),ashok nagar,221,shahdara north zone
महिपालपुर दिल्ली,महिपालपुर गाँव,महिपालपुर,133,नजफगढ़ ज़ोन
rohni sector 3,rohini sector 3,rohini-d,54,rohini zone
kamlanagar market,kamla nagar market,kamla nagar,69,keshav puram zone
sri niwas puri,srinivaspuri,sri niwas puri,174,central zone
burariblock b,burari block b,burari,6,civil lines zone
मंगोल पुरी पुनर्वास क्षेत्र,मंगोलपुरी पुनर्वास क्षेत्र,मंगोलपुरी-बी,50,रोहिणी ज़ोन
prabhudayal area,prabhu dayal area,shalimar bagh - b,56,keshav puram zone
तुर्कमान गेट एरिया,तुर्कमान गेट,दिल्ली गेट,77,सिटी एसपी ज़ोन
कृष्ण विहार दिल्ली,कृष्ण विहार,पूठ कलां,26,रोहिणी ज़ोन
gandhi vihar delhi,gandhi vihar,dhirpur,14,civil lines zone
रोहिनी सेक्टर 13,रोहिणी सेक्टर 13,रोहिणी-डी,54,रोहिणी ज़ोन
pamposh enclave,pamposh enclave,greater kailash,173,south zone
असोला विलेज,असोला,छतरपुर,159,साउथ ज़ोन
chandni mahal area,chandni mahal,chandani mahal,76,city sp zone
विजय पार्क,विजय पार्क,मौजपुर (gen.),228,शाहदरा North Zone
नवादा मुख्य गांव,नवादा गाँव,नवादा,114,नजफगढ़ ज़ोन
majlis park,majlis park,adarsh nagar,15,civil lines zone
सेक्टर 1 द्वारका,द्वारका सेक्टर 1,द्वारका - ए,121,नजफगढ़ ज़ोन
lajpat nagar phase 2,lajpat nagar 2,lajpat nagar,144,central zone
dwarka sector 6,dwarka sector 6,dwarka - a,121,najafgarh zone
trilokpuri blk 16,trilokpuri block 16,trilokpuri,192,east zone
siddhart basti,siddharth basti,sidhartha nagar,143,central zone
saidulajab vill,saidulajab village,said- ul-ajaib,160,south zone
नजफगढ़ फिरनी वाला रोड,नजफगढ़ फिरनी रोड,नजफगढ़,127,नजफगढ़ ज़ोन
आदर्श नगर मेट्रो,आदर्श नगर,आदर्श नगर,15,सिविल लाइंस ज़ोन
bhalswa lake area,bhalswa lake area,bhalswa,17,civil lines zone
yamuna vihar area,yamuna vihar (parts),bhajanpura (gen),230,shahdara north zone
मदनपुर डबास दिल्ली,मदनपुर डबास,रानी खेड़ा,33,नरेला ज़ोन
नई सड़क एरिया,नई सड़क,चाँदनी चौक,74,सिटी एसपी ज़ोन
चूना मंडी,चूना मंडी,पहाड़गंज,82,सिटी एसपी ज़ोन
गुरु हरकिशन नगर एरिया,गुरु हरकिशन नगर,गुरु हरकिशन नगर,48,रोहिणी ज़ोन
paschim puri blocks,paschim puri,madipur,93,west zone
सीताराम बाज़ार,सीता राम बाज़ार,बाज़ार सीता राम,78,सिटी एसपी ज़ोन
begumpur village,begumpur,malviya nagar,149,south zone
फ्रीडम फाइटर एन्क्लेव,फ्रीडम फाइटर एन्क्लेव,सैदुलाजाब,160,साउथ ज़ोन
roop nagar road,roop nagar,kamla nagar,69,keshav puram zone
pushp vihar sector 4,pushp vihar sector 4,pushp vihar,166,south zone
bhalswa dairy delhi,bhalswa dairy,bhalswa,17,civil lines zone
khirkiextension,khirki extension,malviya nagar,149,south zone
शालीमार बाग ब्लॉक सी,शालीमार बाग ब्लॉक सी,शालीमार बाग - बी,56,केशव पुरम ज़ोन
dwarka sec22,dwarka sector 22,dwarka-c,130,najafgarh zone
मालवीय नगर,मालवीय नगर,मालवीय नगर,149,साउथ ज़ोन
जनकपुरी ए ६ ब्लॉक,जनकपुरी ब्लॉक ए,जनकपुरी वेस्ट,106,वेस्ट ज़ोन
हौज खास ग्राम,हौज खास गाँव,हौज खास,148,साउथ ज़ोन
रोहिणी सेक्टर १५,रोहिणी सेक्टर 15,रोहिणी-बी,22,रोहिणी ज़ोन
जहांगीरपुरी ब्लॉक के दिल्ली,जहाँगीरपुरी ब्लॉक के,जहाँगीरपुरी,18,सिविल लाइंस ज़ोन
gujranwala town part 1,gujranwala town,model town,68,keshav puram zone
gautam puri road,gautam puri,gautam puri (gen.),226,shahdara north zone
narela indstrial area,narela industrial area,narela,1,narela zone
सरिता विहार पॉकेट-के,सरिता विहार पॉकेट के,सरिता विहार,187,साउथ ज़ोन
lalitapark,lalita park,lalita park,201,east zone
कमालपुर बुराड़ी दिल्ली,कमालपुर,बुराड़ी,6,सिविल लाइंस ज़ोन
gtb hospital vicinity,gtb hospital area,nand nagri,220,shahdara north zone
सरस्वती विहार पीतमपुरा,सरस्वती विहार,सरस्वती विहार,58,केशव पुरम ज़ोन
dwarka sec 13,dwarka sector 13,dwarka - b,120,najafgarh zone
कृष्णा नगर दिल्ली,कृष्णा नगर,कृष्णा नगर,211,शाहदरा साउथ ज़ोन
सैक्टर 10 आरके पुरम,आरके पुरम सेक्टर 10,आर.के. पुरम,152,साउथ ज़ोन
कमला नगर मार्केट,कमला नगर मार्केट,कमला नगर,69,केशव पुरम ज़ोन
aman vihar delhi,aman vihar,aman vihar,41,rohini zone
रोहिणी सेक्टर-15,रोहिणी सेक्टर 15,रोहिणी-बी,22,रोहिणी ज़ोन
बृजपुरी रोड,बृजपुरी,बृजपुरी,245,शाहदरा नॉर्थ ज़ोन
वैशाली दिल्ली,वैशाली,पीतमपुरा,57,केशव पुरम ज़ोन
south extn part 1,south extension part 1,kotla mubarakpur,147,south zone
सरिता विहार डी ब्लॉक,सरिता विहार पॉकेट डी,सरिता विहार,187,साउथ ज़ोन
amar colony market,amar colony,amar colony,146,central zone
सरिता विहार पॉकेट के रोड,सरिता विहार पॉकेट के,सरिता विहार,187,साउथ ज़ोन
rampura road,rampura,keshav puram,64,keshav puram zone
bdo ofice alipur,bdo office area,alipur,4,narela zone
मयूर विहार दिल्ली 1,मयूर विहार फेज 1,मयूर विहार फेज-I,191,ईस्ट ज़ोन
welcome 1,welcome phase 1,welcome colony,224,shahdara north zone
ram krishna puram sector 5,rk puram sector 5,r.k. puram,152,south zone
jamia millia islamia delhi,jamia millia islamia,zakir nagar,189,central zone
satyawati cllge,satyawati college,ashok vihar,65,keshav puram zone
सरिता विहार पॉकेट एफ रोड,सरिता विहार पॉकेट एफ,सरिता विहार,187,साउथ ज़ोन
दल्लूपुरा मयूर विहार साइड,दल्लूपुरा,घड़ोली,194,ईस्ट ज़ोन
sarita vihar delhi pocket k,sarita vihar pocket k,sarita vihar,187,south zone
महावीर एन्क्लेव पालम की गली,महावीर एन्क्लेव पालम साइड,महावीर एन्क्लेव,137,नजफगढ़ ज़ोन
किराड़ी सुलेमान नगर,किराड़ी सुलेमान नगर,किराड़ी,37,रोहिणी ज़ोन
hansraj college area,hansraj college area,malka ganj,12,civil lines zone
निठारी बस्ती,निठारी गाँव,निठारी,40,रोहिणी ज़ोन
प्रभुदयाल एरिया,प्रभु दयाल एरिया,शालीमार बाग - बी,56,केशव पुरम ज़ोन
सैनिक एनक्लेव,सैनिक एन्क्लेव,सैनिक एन्clave,112,नजफगढ़ ज़ोन
budh vihar phase two,budh vihar phase 2,budh vihar,25,rohini zone
gorakhpark east,gorakh park east,gorakh park,235,shahdara north zone
vikas kunj road,vikas kunj,keshopur,103,west zone
पंखा रोड जनकपुरी,पंखा रोड,जनकपुरी साउथ,104,वेस्ट ज़ोन
ओखला भाग 3,ओखला फेज 3,हरकेश नगर,177,साउथ ज़ोन
burari block b colony,burari block b,burari,6,civil lines zone
पालम एक्सटेंशन वाली गली,पालम एक्सटेंशन,द्वारका - ए,121,नजफगढ़ ज़ोन
तुखमीरपुर दिल्ली,तुखमीरपुर,करावल नगर,248,शाहदरा नॉर्थ ज़ोन
संगम विहार सी ब्लॉक एरिया,संगम विहार ब्लॉक सी,संगम विहार - ए,163,साउथ ज़ोन
vishwasnagar,vishwas nagar,vishwas nagar,207,shahdara south zone
अर्जन गढ़ दिल्ली,अर्जन गढ़,आया नगर,157,साउथ ज़ोन
trilok puri block 3,trilokpuri block 3,trilokpuri,192,east zone
sarita vihar i block,sarita vihar pocket i,sarita vihar,187,south zone
ravee nagar,ravi nagar,vishnu garden,95,west zone
ganeshnagar,ganesh nagar,pandav nagar,200,east zone
govindpuri ext,govindpuri extension,govind puri,176,south zone
अशोक विहार - 3,अशोक विहार फेज़ 3,अशोक विहार,65,केशव पुरम ज़ोन
घड़ोली डेरी फार्म,घड़ोली डेयरी फार्म,घड़ोली,194,ईस्ट ज़ोन
trilokpuri blk 36,trilokpuri block 36,trilokpuri,192,east zone
सौरभ विहार दिल्ली,सौरभ विहार,मीठापुर,182,साउथ ज़ोन
mukundpur part-2,mukundpur part 2,mukundpur,8,civil lines zone
मंगोलपुरी ब्लॉक क्षेत्र,मंगोलपुरी ब्लॉक,मंगोलपुरी,42,रोहिणी ज़ोन
ghafar market,ghaffar market,karol bagh,83,karol bagh zone
nilothi extension colony,nilothi extension,kunwar singh,110,najafgarh zone
न्यू राजिन्दर नगर,न्यू राजिंदर नगर,राजिंदर नगर,141,करोल बाग ज़ोन
sarswati vihar,saraswati vihar,saraswati vihar,58,keshav puram zone
नाहरपुर,नाहरपुर,रोहिणी-ए,21,रोहिणी ज़ोन
silampur village,seelampur village,seelampur,225,shahdara north zone
मॉडल टाउन - 1,मॉडल टाउन 1,走 मॉडल टाउन,68,केशव पुरम ज़ोन
gandhi vehar,gandhi vihar,dhirpur,14,civil lines zone
rohini sec 11,rohini sector 11,rohini-b,22,rohini zone
बुलंद मस्जिद,बुलंद मस्जिद,शास्त्री पार्क,213,शाहदरा नॉर्थ ज़ोन
lal qtr market,lal quarter market,krishna nagar,211,shahdara south zone
मटियाला बस्ती,मटियाला गाँव,मटियाला,122,नजफगढ़ ज़ोन
greater kailash-1,gk-1,greater kailash,173,south zone
सरिता विहार दिल्ली पॉकेट डी,सरिता विहार पॉकेट डी,सरिता विहार,187,साउथ ज़ोन
अशोक विहार फेज़ 3,अशोक विहार फेज़ 3,अशोक विहार,65,केशव पुरम ज़ोन
ranjitnagar,ranjeet nagar,ranjeet nagar,87,karol bagh zone
secter 20,sector 20,aman vihar,41,rohini zone
मीरा बाग कॉलोनी,मीरा बाग,पश्चिम विहार,59,केशव पुरम ज़ोन
krishna nagar block,krishna nagar,krishna nagar,211,shahdara south zone
मदनपुर डवास,मदनपुर डबास,रानी खेड़ा,33,नरेला ज़ोन
गोविंदपुरी एक्सटेंशन दिल्ली,गोविंदपुरी एक्सटेंशन,गोविंदपुरी,176,साउथ ज़ोन
tughlakabad gaon,tughlakabad village,tughlakabad,170,south zone
यादव नगर बादली,यादव नगर,समयपुर बादली,20,सिविल लाइंस ज़ोन
राम नगर ईस्ट,राम नगर ईस्ट,राम नगर ईस्ट,222,शाहदरा नॉर्थ ज़ोन
मण्डोली,मंडोली,अशोक नगर,221,शाहदरा नॉर्थ ज़ोन
पालम एक्सटेंशन सेक्टर 7 साइड,पालम एक्सटेंशन,द्वारका - ए,121,नजफगढ़ ज़ोन
onkar nagar delhi,onkar nagar,tri nagar,63,keshav puram zone
wazirpur jj area,wazirpur jj colony,wazir pur,66,keshav puram zone
सैदुलाजाब बस्ती,सैदुलाजाब गाँव,सैदुलाजाब,160,साउथ ज़ोन
