
variant,canonical_locality
shahdara village,shahdara village
shahdara mkt,shahdara market
shahdara mrkt,shahdara market
shahdara bazaar,shahdara market
shahdara market,shahdara market
nand nagri blocks,nand nagri blocks a to e
nand nagri a to e,nand nagri blocks a to e
nand nagri block,nand nagri blocks a to e
nandnagri blocks,nand nagri blocks a to e
sundernagri,sunder nagri
sunder nagri village,sunder nagri
sunder nagari,sunder nagri
sundar nagri,sunder nagri
vishwakarma nagar,vishwa karma nagar
v k nagar,vishwa karma nagar
vishwa karma ngr,vishwa karma nagar
vishwakarma ngr,vishwa karma nagar
jhilmil part,jhilmil parts
jhilmil p,jhilmil parts
jhilmil area,jhilmil parts
jhilmil parts,jhilmil parts
vivek vihar ph 1,vivek vihar phase 1
vivek vihar ph1,vivek vihar phase 1
vivek vihar phase1,vivek vihar phase 1
vivekvihar phase 1,vivek vihar phase 1
vivek vihar ph 2,vivek vihar phase 2
vivek vihar ph2,vivek vihar phase 2
vivek vihar phase2,vivek vihar phase 2
vivekvihar phase 2,vivek vihar phase 2
anandvihar,anand vihar
anand vhr,anand vihar
anand vihr,anand vihar
anand vihar isbt,anand vihar
isbt anand vihar,isbt anand vihar area
anand vihar isbt,isbt anand vihar area
isbt av,isbt anand vihar area
anand vihar bus stand,isbt anand vihar area
surajmalvihar,surajmal vihar
surajmal vhr,surajmal vihar
surajmal vihr,surajmal vihar
surajmal vihar delhi,surajmal vihar
ip ext,ip extension
i p extension,ip extension
i.p. extension,ip extension
ipextension,ip extension
patparganj vlg,patparganj village
patparganj vill,patparganj village
patparganjgaon,patparganj village
patparganj village,patparganj village
mayur vihar ph 2,mayur vihar phase 2
mayur vihar ph2,mayur vihar phase 2
mayur vihar phase2,mayur vihar phase 2
mayurvihar phase 2,mayur vihar phase 2
vinod ngr west,vinod nagar west
vinod nagar w,vinod nagar west
vinodnagar west,vinod nagar west
vinod ngr w,vinod nagar west
mandawali vlg,mandawali village
mandawali vill,mandawali village
mandawaligaon,mandawali village
mandawali village,mandawali village
mandawali ext,mandawali extension
mandawali extn,mandawali extension
mandawaliext,mandawali extension
mandawali extension,mandawali extension
vinod ngr east,vinod nagar east
vinod nagar e,vinod nagar east
vinodnagar east,vinod nagar east
vinod ngr e,vinod nagar east
mayur vihar ph 2 part,mayur vihar phase 2 parts
mayur vihar ph 2 p,mayur vihar phase 2 parts
mayur vihar phase 2 area,mayur vihar phase 2 parts
mayur vihar ph 1,mayur vihar phase 1
mayur vihar ph1,mayur vihar phase 1
mayur vihar phase1,mayur vihar phase 1
mayurvihar phase 1,mayur vihar phase 1
mayur vihar ph 1 ext,mayur vihar phase 1 extension
mayur vihar phase 1 ext,mayur vihar phase 1 extension
mayur vihar ph 1 extension,mayur vihar phase 1 extension
chilla vlg,chilla village
chilla vill,chilla village
chillagaon,chilla village
chilla village,chilla village
dallupura vlg,dallupura village
dallupura vill,dallupura village
dallupuragaon,dallupura village
dallupura village,dallupura village
kondli vlg,kondli village
kondli vill,kondli village
kondligaon,kondli village
kondli village,kondli village
ghroli vlg,ghroli village
ghroli vill,ghroli village
ghroligaon,ghroli village
ghroli village,ghroli village
ghroli ext,ghroli extension
ghroli extn,ghroli extension
ghroliext,ghroli extension
ghroli extension,ghroli extension
kalyanpuri blocks,kalyanpuri blocks a to k
kalyanpuri a to k,kalyanpuri blocks a to k
kalyanpuri block,kalyanpuri blocks a to k
kalyan puri blocks,kalyanpuri blocks a to k
khichripur vlg,khichripur village
khichripur vill,khichripur village
khichripurgaon,khichripur village
khichripur village,khichripur village
khichripur resettlement,khichripur resettlement colony
khichripur colony,khichripur resettlement colony
khichripur jj colony,khichripur resettlement colony
khichripur r colony,khichripur resettlement colony
shashigarden,shashi garden
shashi grdn,shashi garden
shashi garden mayur vihar,shashi garden
shashi gardan,shashi garden
mayur vihar ph 1 part,mayur vihar phase 1 parts
mayur vihar ph 1 p,mayur vihar phase 1 parts
mayur vihar phase 1 area,mayur vihar phase 1 parts
patparganj vlg,patparganj village
patparganj vill,patparganj village
patparganjgaon,patparganj village
pandav ngr east,pandav nagar east
pandav nagar e,pandav nagar east
pandavnagar east,pandav nagar east
pandav ngr e,pandav nagar east
ganeshnagar,ganesh nagar
ganesh ngr,ganesh nagar
ganesh nagar pandav nagar,ganesh nagar
ganesh ngr area,ganesh nagar
laxmi nagar mkt,laxmi nagar market
laxmi ngr mkt,laxmi nagar market
laxmi nagar mrkt,laxmi nagar market
lakshmi nagar market,laxmi nagar market
gurunanakpura,guru nanak pura
guru nanak pura laxmi nagar,guru nanak pura
guru nanak ngr,guru nanak pura
guru nanak pur,guru nanak pura
shakarpur blocks,shakarpur blocks a to s
shakarpur a to s,shakarpur blocks a to s
shakarpur block,shakarpur blocks a to s
shakarpur market,shakarpur market
shakarpur mkt,shakarpur market
shakarpur mrkt,shakarpur market
shakarpur bazaar,shakarpur market
pandavnagar,pandav nagar
pandav ngr,pandav nagar
pandav nagar delhi,pandav nagar
pandav ngr area,pandav nagar
samaspur vlg,samaspur village
samaspur vill,samaspur village
samaspurgaon,samaspur village
samaspur village,samaspur village
krishna nagar blocks,krishna nagar blocks a to n
krishna nagar a to n,krishna nagar blocks a to n
krishna nagar block,krishna nagar blocks a to n
krishnanagar blocks,krishna nagar blocks a to n
krishna nagar mkt,krishna nagar market
krishna ngr mkt,krishna nagar market
krishna nagar market area,krishna nagar market
krishana nagar mkt,krishna nagar market
anandpuri,anand puri
anand puri khureji,anand puri
anand puri area,anand puri
anandpuri delhi,anand puri
khurejikhas,khureji khas
khureji khas market,khureji khas
khureji village,khureji khas
khureji market,khureji khas
vishwasnagar,vishwas nagar
vishwas ngr,vishwas nagar
vishwas nagar shahdara,vishwas nagar
vishwas ngr area,vishwas nagar
vishwas nagar ind area,vishwas nagar industrial area
vishwas nagar industrial area,vishwas nagar industrial area
vishwas nagar indarea,vishwas nagar industrial area
bholanathnagar,bholanath nagar
bholanath ngr,bholanath nagar
bholanath nagar shahdara,bholanath nagar
bholanath ngr area,bholanath nagar
shahdara station,shahdara railway station area
shahdara rly stn,shahdara railway station area
shahdara railway station,shahdara railway station area
shahdara stn,shahdara railway station area
arya pura,aryapura
aryapura shahdara,aryapura
aryapura vlg,aryapura
aryapura gaon,aryapura
geeta colony blocks,geeta colony blocks a to k
geeta colony a to k,geeta colony blocks a to k
geeta colony block,geeta colony blocks a to k
gita colony blocks,geeta colony blocks a to k
shastripark,shastri park
shastri prk,shastri park
shastri park metro,shastri park
shastri park area,shastri park
shastri park metro,shastri park metro area
shastri park station,shastri park metro area
shastri park metro stn,shastri park metro area
shastri park mtro,shastri park metro area
ghonda gujran part,ghonda gujran parts
ghonda gujran p,ghonda gujran parts
ghonda gujran area,ghonda gujran parts
gonda gujran parts,ghonda gujran parts
bhajanpura part,bhajanpura parts
bhajanpura p,bhajanpura parts
bhajanpura area,bhajanpura parts
bhajanpura parts,bhajanpura parts
bhajanpura ext,bhajanpura extension
bhajanpura extn,bhajanpura extension
bhajanpuraext,bhajanpura extension
bhajanpura extension,bhajanpura extension
